,Country,Year,C_M2,C_cpi,IV_fdi_outflow,IV_lending,C_gdp,IV_trade_balance,C_REER,DV_VA,DV_nfc_ls,DV_hh_ls,IV_gov_exp,IV_gini,DV_VAplus,DV_nfc_lsplus,DV_hh_lsplus,IVlag1_DV_VAplus,IVlag1_DV_nfc_lsplus,IVlag1_DV_hh_lsplus,IV_lendingplus,IV_gov_expplus,IV_trade_balanceplus,IV_fdi_outflowplus,IV_lendingplus_lag1,IV_gov_expplus_lag1,IV_trade_balanceplus_lag1,IV_fdi_outflowplus_lag1,IV_lendingplus_lag2,IV_gov_expplus_lag2,IV_trade_balanceplus_lag2,IV_fdi_outflowplus_lag2,C_REERplus,C_cpiplus,C_gdpplus,C_m2plus
16958,United States,1850,,,,,,,,,,,1.55865,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1890520860973668,0.0,0.0,0.0,0.005119703799771891,0.0,0.0,0.0,-0.22050424963822024,0.0,0.0,0.0,0.0,0.0,0.0
16959,United States,1851,,,,,,,,,,,1.76048,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.129490264010522,0.0,0.0,0.0,-0.1890520860973668,0.0,0.0,0.0,0.005119703799771891,0.0,0.0,0.0,0.0,0.0,0.0
16960,United States,1852,,,,,,,,,,,1.48855,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1544635553939835,0.0,0.0,0.0,0.129490264010522,0.0,0.0,0.0,-0.1890520860973668,0.0,0.0,0.0,0.0,0.0,0.0
16961,United States,1853,,,,,,,,,,,1.40437,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.056551677807262224,0.0,0.0,0.0,-0.1544635553939835,0.0,0.0,0.0,0.129490264010522,0.0,0.0,0.0,0.0,0.0,0.0
16962,United States,1854,,,,,,,,,,,1.49562,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06497575425279667,0.0,0.0,0.0,-0.056551677807262224,0.0,0.0,0.0,-0.1544635553939835,0.0,0.0,0.0,0.0,0.0,0.0
16963,United States,1855,,,,,,,,,,,1.47659,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012723820221714033,0.0,0.0,0.0,0.06497575425279667,0.0,0.0,0.0,-0.056551677807262224,0.0,0.0,0.0,0.0,0.0,0.0
16964,United States,1856,,,,,,,,,,,1.65803,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1228777114838917,0.0,0.0,0.0,-0.012723820221714033,0.0,0.0,0.0,0.06497575425279667,0.0,0.0,0.0,0.0,0.0,0.0
16965,United States,1857,,,,,,,,,,,1.57081,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.052604597021766675,0.0,0.0,0.0,0.1228777114838917,0.0,0.0,0.0,-0.012723820221714033,0.0,0.0,0.0,0.0,0.0,0.0
16966,United States,1858,,,,,,,,,,,1.82362,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16094244370738653,0.0,0.0,0.0,-0.052604597021766675,0.0,0.0,0.0,0.1228777114838917,0.0,0.0,0.0,0.0,0.0,0.0
16967,United States,1859,,,,,,,,,,,1.61117,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11649905133744975,0.0,0.0,0.0,0.16094244370738653,0.0,0.0,0.0,-0.052604597021766675,0.0,0.0,0.0,0.0,0.0,0.0
16968,United States,1860,,,,,,,,,,,1.4076,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12634917482326513,0.0,0.0,0.0,-0.11649905133744975,0.0,0.0,0.0,0.16094244370738653,0.0,0.0,0.0,0.0,0.0,0.0
16969,United States,1861,,,,,,,,,,,1.42468,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0121341290139243,0.0,0.0,0.0,-0.12634917482326513,0.0,0.0,0.0,-0.11649905133744975,0.0,0.0,0.0,0.0,0.0,0.0
16970,United States,1862,,,,,,,,,,,8.61637,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.047933571047533,0.0,0.0,0.0,0.0121341290139243,0.0,0.0,0.0,-0.12634917482326513,0.0,0.0,0.0,0.0,0.0,0.0
16971,United States,1863,,,,,,,,,,,9.73629,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1299758482980653,0.0,0.0,0.0,5.047933571047533,0.0,0.0,0.0,0.0121341290139243,0.0,0.0,0.0,0.0,0.0,0.0
